JobId,IfdefJobId,SimExitCode,VarExitCode,DiffErrors,ErrOnlyInSim,ErrOnlyInVar,OkInBoth,SameErrors,TestOnlyInSim,TestOnlyInVar,VarTime,SimTime,TestDir,TestCfg,ProgramCfg,TimeDiff
598,26,0,0,0,0,0,236,2,0,0,334.71,342.2,cov1,c1.cfg,id2i_optionstruct_000.h,2.2129972965
599,26,0,0,0,0,0,236,2,0,0,336.84,342.54,cov1,c1.cfg,id2i_optionstruct_001.h,1.6780005299
600,26,0,0,0,0,0,236,2,0,0,346.16,352.14,cov1,c1.cfg,id2i_optionstruct_002.h,1.7127309179
601,26,0,0,0,0,0,236,2,0,0,344.23,348.64,cov1,c1.cfg,id2i_optionstruct_003.h,1.2729660687
602,26,0,0,0,0,0,236,2,0,0,327.77,332,cov1,c1.cfg,id2i_optionstruct_004.h,1.2822650318
603,26,0,0,0,0,0,236,2,0,0,334.82,341.24,cov1,c1.cfg,id2i_optionstruct_005.h,1.8992397125
604,26,0,0,0,0,0,236,2,0,0,303.5,300.62,cov1,c1.cfg,id2i_optionstruct_006.h,-0.9534529564
605,26,0,0,0,0,0,236,2,0,0,325.77,327.3,cov1,c1.cfg,id2i_optionstruct_007.h,0.4685562038
606,26,0,0,0,0,0,236,2,0,0,367.16,369.76,cov1,c1.cfg,id2i_optionstruct_008.h,0.7056396895
607,26,0,0,0,0,0,236,2,0,0,338.78,342.46,cov1,c1.cfg,id2i_optionstruct_009.h,1.0803828313
609,26,0,0,0,0,0,236,2,0,0,338.25,342.12,cov1,c1.cfg,id2i_optionstruct_011.h,1.137616297
612,26,0,0,0,0,0,236,2,0,0,345.91,343.2,cov1,c1.cfg,id2i_optionstruct_014.h,-0.7865217454
615,26,1,1,0,0,0,235,3,0,0,340.08,338.47,cov1,c1.cfg,id2i_optionstruct_017.h,-0.4745413013
617,26,0,0,0,0,0,236,2,0,0,332.98,336.62,cov1,c1.cfg,id2i_optionstruct_019.h,1.0872162485
618,26,0,0,0,0,0,236,2,0,0,325.24,331.78,cov1,c1.cfg,id2i_optionstruct_020.h,1.990806977
619,26,0,0,0,0,0,236,2,0,0,382.53,387.08,cov1,c1.cfg,id2i_optionstruct_021.h,1.1824170684
620,26,0,0,0,0,0,236,2,0,0,323.15,325.64,cov1,c1.cfg,id2i_optionstruct_022.h,0.7675827309
621,27,0,0,0,0,0,197,2,0,0,133.42,132.29,cov1,c2.cfg,id2i_optionstruct_000.h,-0.850551353
622,27,0,0,0,0,0,197,2,0,0,137.01,137.35,cov1,c2.cfg,id2i_optionstruct_001.h,0.2478495407
623,27,0,0,0,0,0,197,2,0,0,140.19,139.92,cov1,c2.cfg,id2i_optionstruct_002.h,-0.1927814073
624,27,0,0,0,0,0,197,2,0,0,145.91,140.92,cov1,c2.cfg,id2i_optionstruct_003.h,-3.4794128927
625,27,0,0,0,0,0,197,2,0,0,141.33,139.72,cov1,c2.cfg,id2i_optionstruct_004.h,-1.1457036115
626,27,0,0,0,0,0,197,2,0,0,134.24,133.62,cov1,c2.cfg,id2i_optionstruct_005.h,-0.4629283954
627,27,0,0,0,0,0,197,2,0,0,137.48,136.39,cov1,c2.cfg,id2i_optionstruct_006.h,-0.7959981013
628,27,0,0,0,0,0,197,2,0,0,132.12,131.96,cov1,c2.cfg,id2i_optionstruct_007.h,-0.1211754014
629,27,0,0,0,0,0,197,2,0,0,139.61,139.76,cov1,c2.cfg,id2i_optionstruct_008.h,0.1073844722
630,27,0,0,0,0,0,197,2,0,0,138.45,137.5,cov1,c2.cfg,id2i_optionstruct_009.h,-0.6885305309
632,27,0,0,0,0,0,197,2,0,0,134.22,132.59,cov1,c2.cfg,id2i_optionstruct_011.h,-1.2218432592
633,27,109,109,0,0,0,185,14,0,0,140.83,138.15,cov1,c2.cfg,id2i_optionstruct_012.h,-1.9212846799
634,27,1,1,0,0,0,197,2,0,0,140.57,138.96,cov1,c2.cfg,id2i_optionstruct_013.h,-1.1519336028
635,27,0,0,0,0,0,197,2,0,0,133.54,132.61,cov1,c2.cfg,id2i_optionstruct_014.h,-0.6988540297
637,27,5,5,0,0,0,194,3,0,0,135.52,136.32,cov1,c2.cfg,id2i_optionstruct_016.h,0.5885815185
638,27,8,8,0,0,0,196,3,0,0,132.38,132.32,cov1,c2.cfg,id2i_optionstruct_017.h,-0.0453343408
640,27,0,0,0,0,0,197,2,0,0,138.85,137.03,cov1,c2.cfg,id2i_optionstruct_019.h,-1.3194142381
641,27,0,0,0,0,0,197,2,0,0,140.97,140.99,cov1,c2.cfg,id2i_optionstruct_020.h,0.0141864094
642,27,0,0,0,0,0,197,2,0,0,148.29,146.4,cov1,c2.cfg,id2i_optionstruct_021.h,-1.2827038583
643,27,0,0,0,0,0,197,2,0,0,131.24,129.32,cov1,c2.cfg,id2i_optionstruct_022.h,-1.4737488486
851,37,0,0,0,0,0,214,2,0,0,284,285.25,cov1,cC.cfg,id2i_optionstruct_000.h,0.4391743522
852,37,0,0,0,0,0,214,2,0,0,290.83,294.47,cov1,cC.cfg,id2i_optionstruct_001.h,1.2438065949
853,37,0,0,0,0,0,214,2,0,0,323.44,325.89,cov1,cC.cfg,id2i_optionstruct_002.h,0.754623997
854,37,0,0,0,0,0,214,2,0,0,314.8,318.11,cov1,cC.cfg,id2i_optionstruct_003.h,1.0459623011
855,37,0,0,0,0,0,214,2,0,0,280.42,284.15,cov1,cC.cfg,id2i_optionstruct_004.h,1.3213596188
856,37,0,0,0,0,0,214,2,0,0,298.13,300.32,cov1,cC.cfg,id2i_optionstruct_005.h,0.7318907177
857,37,3,3,0,0,0,213,3,0,0,277.66,280.36,cov1,cC.cfg,id2i_optionstruct_006.h,0.9677072506
858,37,0,0,0,0,0,214,2,0,0,298.78,302.3,cov1,cC.cfg,id2i_optionstruct_007.h,1.1712251281
859,37,0,0,0,0,0,214,2,0,0,361.17,369.74,cov1,cC.cfg,id2i_optionstruct_008.h,2.3450219589
860,37,0,0,0,0,0,214,2,0,0,277.12,283.76,cov1,cC.cfg,id2i_optionstruct_009.h,2.3677078876
862,37,0,0,0,0,0,214,2,0,0,283.84,287.83,cov1,cC.cfg,id2i_optionstruct_011.h,1.3959102279
863,37,125,125,0,0,0,201,15,0,0,287.38,290.28,cov1,cC.cfg,id2i_optionstruct_012.h,1.0040508257
865,37,0,0,0,0,0,214,2,0,0,301.57,302.85,cov1,cC.cfg,id2i_optionstruct_014.h,0.4235465405
867,37,5,5,0,0,0,211,3,0,0,280.76,281.77,cov1,cC.cfg,id2i_optionstruct_016.h,0.3590919595
868,37,1,1,0,0,0,213,3,0,0,291.95,293.45,cov1,cC.cfg,id2i_optionstruct_017.h,0.5124701059
