Feature\Product;
FD_CLOEXEC;-;
HAVE_FDATASYNC;?;
HAVE_LOCALTIME_R;-;
HAVE_LOCALTIME_S;-;
HAVE_MALLOC_H;X;
HAVE_MALLOC_USABLE_SIZE;X;
HAVE_POSIX_FALLOCATE;-;
HAVE_STDINT_H;-;
HAVE_STRERROR_R;-;
HAVE_USLEEP;-;
NDEBUG;-;
NO_GETTOD;-;
OS_VXWORKS;X;
O_CLOEXEC;-;
SQLITE_AMALGAMATION;-;
SQLITE_ASCII;-;
SQLITE_CHECK_PAGES;-;
SQLITE_CORE;X;
SQLITE_COVERAGE_TEST;-;
SQLITE_DEBUG;-;
SQLITE_DEFAULT_FOREIGN_KEYS;-;
SQLITE_DEFAULT_MEMSTATUS;-;
SQLITE_EBCDIC;-;
SQLITE_ENABLE_CEROD;-;
SQLITE_ENABLE_COLUMN_METADATA;?;
SQLITE_ENABLE_EXPENSIVE_ASSERT;?;
SQLITE_ENABLE_FTS3;?;
SQLITE_ENABLE_FTS4;?;
SQLITE_ENABLE_FTS4_UNICODE61;?;
SQLITE_ENABLE_ICU;-;
SQLITE_ENABLE_IOTRACE;?;
SQLITE_ENABLE_LOCKING_STYLE;X;
SQLITE_ENABLE_MEMORY_MANAGEMENT;-;
SQLITE_ENABLE_MEMSYS3;?;
SQLITE_ENABLE_MEMSYS5;?;
SQLITE_ENABLE_OVERSIZE_CELL_CHECK;-;
SQLITE_ENABLE_RTREE;-;
SQLITE_ENABLE_SQLLOG;-;
SQLITE_ENABLE_TREE_EXPLAIN;?;
SQLITE_ENABLE_UPDATE_DELETE_LIMIT;-;
SQLITE_ENABLE_WHERETRACE;-;
SQLITE_HAS_CODEC;-;
SQLITE_HAVE_ISNAN;?;
SQLITE_HOMEGROWN_RECURSIVE_MUTEX;-;
SQLITE_MALLOC_SOFT_LIMIT;X;
SQLITE_MEMDEBUG;-;
SQLITE_MSVC_LOCALTIME_API;-;
SQLITE_MUTEX_NOOP;-;
SQLITE_MUTEX_OMIT;-;
SQLITE_NO_SYNC;?;
SQLITE_OMIT_ANALYZE;-;
SQLITE_OMIT_ATTACH;-;
SQLITE_OMIT_AUTOVACUUM;?;
SQLITE_OMIT_BLOB_LITERAL;?;
SQLITE_OMIT_BUILTIN_TEST;?;
SQLITE_OMIT_CAST;-;
SQLITE_OMIT_COMPOUND_SELECT;-;
SQLITE_OMIT_DECLTYPE;-;
SQLITE_OMIT_DEPRECATED;?;
SQLITE_OMIT_DISKIO;-;
SQLITE_OMIT_EXPLAIN;?;
SQLITE_OMIT_FLOATING_POINT;-;
SQLITE_OMIT_FOREIGN_KEY;?;
SQLITE_OMIT_LOAD_EXTENSION;X;
SQLITE_OMIT_OR_OPTIMIZATION;?;
SQLITE_OMIT_PAGER_PRAGMAS;?;
SQLITE_OMIT_PRAGMA;-;
SQLITE_OMIT_SHARED_CACHE;-;
SQLITE_OMIT_SUBQUERY;-;
SQLITE_OMIT_TRACE;-;
SQLITE_OMIT_TRIGGER;-;
SQLITE_OMIT_VACUUM;-;
SQLITE_OMIT_VIEW;-;
SQLITE_OMIT_VIRTUALTABLE;-;
SQLITE_OMIT_WAL;-;
SQLITE_OS_OTHER;X;
SQLITE_OS_UNIX;X;
SQLITE_OS_WIN;X;
SQLITE_OS_WINCE;-;
SQLITE_OS_WINNT;X;
SQLITE_OS_WINRT;-;
SQLITE_RTREE_INT_ONLY;?;
SQLITE_SMALL_STACK;?;
SQLITE_SYSTEM_MALLOC;X;
SQLITE_TCL;-;
SQLITE_TEST;-;
SQLITE_THREADSAFE;-;
SQLITE_WIN32_FILEMAPPING_API;-;
SQLITE_WIN32_HAS_ANSI;-;
SQLITE_WIN32_HAS_WIDE;-;
SQLITE_WIN32_MALLOC;-;
SQLITE_WIN32_MALLOC_VALIDATE;-;
SQLITE_WITHOUT_MSIZE;-;
SQLITE_WITHOUT_ZONEMALLOC;-;
SQLITE_ZERO_MALLOC;-;
STRERROR_R_CHAR_P;-;
TCLSH;-;
THREADSAFE;-;
TRANSLATE_TRACE;-;
USE_PREAD;-;
USE_PREAD64;-;
VDBE_PROFILE;?;
WIN32;-;
YYERRORSYMBOL;-;
YYNOERRORRECOVERY;-;
i386;-;
